pyCube,JFF,JDF,SQLJ
1.284,0,61.472,55.183
1.269,0,57.930,53.304
1.252,0,60.090,61.449
2.365,0,75.688,83.828
1.712,0,77.712,74.037
2.107,0,71.943,79.027
3.697,0,000000,84.242
2.363,0,73.345,67.497
2.000,0,77.644,70.335
1.681,0,77.292,75.916
5.622,0,000000,0
4.308,0,000000,0
2.111,0,000000,0
