pyCube,JFF,JDF,SQLJ
0.396,58.135,20.641,21.665
0.366,53.798,19.722,19.768
0.380,57.301,20.957,22.223
0.584,000000,26.941,26.303
0.432,000000,26.599,24.559
0.375,000000,26.253,24.199
1.088,35.742,27.104,27.644
0.507,32.629,26.696,25.919
0.361,29.354,26.175,22.08
0.364,30.736,27.186,23.867
1.492,59.761,40.645,40.308
2.004,56.566,40.252,38.626
0.619,55.869,39.623,34.943
